Neighbourhood;area_code1;area_code2
Koebenhavn K;1000;1473
Koebenhavn V;1500;1799
Frederiksberg;1800;2000
Koebenhavn OE;2100;
Nordhavn;2150;
Koebenhavn N;2200;
Koebenhavn S;2300;
Koebenhavn NV;2400;
Koebenhavn SV;2450;
Valby;2500;
Glostrup;2600;
Broendby;2605;
Roedovre;2610;
Albertslund;2620;
Vallensbaek;2625;
Taastrup;2630;
Ishoej;2635;
Hedehusene;2640;
Hvidovre;2650;
Broendby Strand;2660;
Vallensbaek Strand;2665;
Greve;2670;
Solroed Strand;2680;
Karlslunde;2690;
Broenshoej;2700;
Vanloese;2720;
Herlev;2730;
Skovlunde;2740;
Ballerup;2750;
Maaloev;2760;
Smoerum;2765;
Kastrup;2770;
Dragoer;2791;
Kongens Lyngby;2800;
Gentofte;2820;
Virum;2830;
Holte;2840;
Naerum;2850;
Soeborg;2860;
Dyssegaard;2870;
Bagsvaerd;2880;
Hellerup;2900;
